No Urut APPD;No Urut Barat-Timur;Kode PWK;Perwakilan BPKP;Korwas/ Dalnis;PIC Narasi;Tema Pengawasan;Judul Lama Tema di Buku;"Usulan Judul Baru (untuk yg warna Merah)
atau Judul yang Lebih Menarik/""Menjual"" (untuk yang warna putih)";Kebermanfaatan / Dampak;Rendal Substantif;Kode Cluster;Nama Cluster APPD 2022;APakah sudah dibahas di FGD Westin?;"Apakah program yang diawasi ini strategis/tidak? Mengapa program ini strategis?
 Apakah dimuat dalam RPJMD/Renstra?(Lengkapi dengan dokumen Renstra/RPJMD/RKPD) 
 Atau apakah menjadi concern Kepala Gubernur?
Poin ini adalah poin krusial yang akan menentukan persepsi Pak Kepala dalam penentuan strategis atau tidak";ada tidaknya permasalahan/isu yg sedang terjadi (concern Gub);Kejelasan tujuan dan dampak program;Nilai Rupiah dari program/anggaran (dalam konteks multiyears / tahunan). Apakah nilainya signifikan?;"Risiko kegagalan program dan permasalahan lainnya jika tidak diawasi 
atau Potensi bernilai ekonomis tinggi jika tidak diawasi";Rendal Substansi;TW I;TW II;TW III;TW IV;TW I;TW II;TW III;TW IV;;Sudah Semua? (v);Catatan
41;66;21;Sulawesi Selatan;Ade Sunardi;Rudy;Pengawasan atas Pengembangan Kawasan Geopark Maros Pangkep;Pengembangan Kawasan Geopark Maros Pangkep;;Ya;D1.04;8;Pariwisata;v;Geopark Maros-Pangkep merupakan warisan geologi berkelas dunia yang sedang diajukan untuk mendapatkan sertifikasi Global Geopark dari UNESCO. Perwakilan perlu mengungkapkan kenapa sertifikasi dari UNESCO ini bersifat strategis dan bermanfaat dalam jangka panjang (sudah diperbaiki);indikasi kesiapan di 2022 yang tidak sebaik 2021 dan komunikasi pempus, pemprov, pemkab yg tidak optimal.;"- akuntabilitas penganggaran dan kebijakan pengembangan kawasan Geopark.
 - keberhasilan sertifikasi Global Geopark dari UNESCO
NOTE: Mohon elaborasi apa manfaat sertifikasi / dampak pemenuhan sertifikasi terhadap peningkatan pariwisata regional, perekonomian lokal. atau PAD.
Keberhasilan memperoleh sertifikasi Global Geopark dari UNESCO semata kurang tepat untuk diangkat dalam APPD 2022. (SUDAH DIPERBAIKI)";4.8 miliar (termasuk pemasaran dan sertifikasi);"- kegagalan perencanaan dan kebijakan pusat-provinsi - Kb Maros Kb Pangkep
 - potensi peningkatan citra pariwisata Indonesia
Note: mohon elaborasi potensi apa (dalam angka lebih baik) jika program ini berhasil mendorong legitimasi dari UNESCO (pariwisata, jumlah turis)";D 1.3;;;;✓;;;;✓;;;
42;6;21;Sulawesi Selatan;Ade Sunardi;Rudy;Pengawasan atas Dukungan Program Stimulus Pemulihan Ekonomi Daerah;Pengembangan Kawasan Luwu Raya;;Ya;D1.03;1;Pemulihan Ekonomi;;Luwu Raya, yang mencakup Kabupaten Luwu Timur, Luwu Utara, Luwu dan Kota Palopo, direncanakan sebagai pusat pertumbuhan ekonomi Provinsi Sulawesi Selatan bagian utara. Program ini termuat dalam RPJMD Sulsel Tahun 2018-2023. Kebutuhan anggaran untuk pengembangan Luwu Raya pada 2021 sebesar Rp 168,87 miliar. ;berupa perencanaan pembangunan Pemprov dengan pemda di kawasan Luwu Raya belum terintegrasi dan akuntabel, sumber daya dan sumber pertumbuhan ekonomi berkelanjutan yang terbatas, dan kualitas dan kuantitas infrastruktur yang rendah. KAwasan Luwu Raya pun rawan gempa.;peningkatan aksesibilitas dan konektivitas jalan, aksesibilitas ke air minum, kapasitas pelabuhan, kemantapan jalan, peningkatan komoditas tanaman pangan unggulan, serta ketaatan dalam pembangunan rendah karbon.;Rp 168,87 miliar (2021);"Belanja pemerintah daerah yang tidak efektof dan efisien
belanja pemda yg tidak akuntabel.";D 1.4;;;;;;;;✓;;;
43;67;22;Bali;Agus Wibowo;Rudy;Pengawasan atas Pembangunan Pelabuhan Benoa sebagai Bali Maritime Tourism Hub;Pembangunan Pelabuhan Benoa sebagai Bali Maritime Tourism Hub;;Ya;D4.02;8;Pariwisata;v;Peningkatan kualitas pariwisata di Tanjung Benoa dan jumlah turis asing. Tolong dielaborasi Mengapa peningkatan kualitas dan jumlah wisawatan di Tanjung Benoa urgen? ada angka kuantitatif?;belum ada.;Pemulihan Ekonomi Nasional melalui tourism dan energy hub. Belum diellaborasi dampak yang ingin dicapai. Lebih fokus pada penyelesaian proyek.;belum ada. Luas area juga blm ada;"""Tidak terselesaikannya 16 paket proyek pengadaan."" Terlalu operasional. Mohon dielaborasi di potensi peningkatan kualitas pariwisata/kemaritiman/potensi peningkatan jumlah turis asing sebagai dampak yang diharapkan";D 1.4;;;✓;;;;;✓;;belum;
44;68;22;Bali;Agus Wibowo;Rudy;Pengawasan atas Pembangunan Pusat Kebudayaan Bali di Klungkung;Pembangunan Pusat Kebudayaan Bali di Klungkung;;Ya;D1.04;8;Pariwisata;v;"Pariwisata Bali sangat strategis karena kontribusinya terhadap PDRB nasional. Setidaknya 1 dari 3 wisatawan asing di INdonesia bertujuan ke Bali (2010-2020).
Lebih lanjut, PKB diharapkan akan menyerap 10.000 tenaga kerja lokal, meningkatkan perekonomian lokal dan UMKM. Apakah ada data kuantitatif?";"
Catatan: 29/01/2022
1. Apakah program sudah dilengkapi Kajian mengenai analisis finansial untuk pengembalian pinjaman (potensi dan mekanisme pengumpulan laba untuk pengembalian pinjaman). 
2. idealnya, butuh 5 T tapi baru 1,5T dari PEN PT SMI. Namun Pemda belum dapat menentukan sumber pendanaan tambahannya";belum ada. Mohon dijelaskan lebih jelas hubungan antara pembangunan pusat kebudayaan dengan dampak  apa yang ingin dicapai.;"1,5 Triliun (PEN dari PT. SMI) dari kebutuham 5 T? Analisis keuangan dan pembiayaan belum ada legalitas formalnya.
[
[09.15, 30/1/2022] Joko Korwas APD Bali: Tambahan info Pak:
Total anggaran yang diperlukan untuk proyek itu mencapai Rp2,5 triliun dari APBN Kementerian PUPR, 
Kementerian Perhubungan, dan APBD Semesta Berencana Provinsi Bali.
Dalam perjalanannya, dengan konsep besarnya diperkirakan dana yg dibutuhkan jauh lebih besar dan bisa mencapai 5 Trilyun , tapi utk ini blm ada hitung2an diatas kertasnya";;D 1.4;;;✓;;;;;✓;;Belum;Mohon lengkapi RPJMD/Renstra/RKPD pada https://drive.google.com/drive/folders/1mOr7po2bDZVRsBRNFOtj_VdIH9jnWCpz?usp=sharing
45;12;23;NTB;Aderial Adelis;Asri;Pengawasan atas Pengembangan Kawasan Industri Sumbawa Barat;Pengembangan Kawasan Industri Sumbawa Barat;;Tidak;D1.03;2;Pengembangan Kawasan dan Ekonomi Regional;v;"1. Peraturan Presiden Nomor 18 Tahun 2020 tentang RPJMN (Lamp IV Proyek Prioritas yang akan dilaksanakan pada tahun 2020-2024 antara lain Pengembangan kawasan strategis, dan pengolahan sumber daya alam berupa perkebunan dan pertambangan yang difokuskan pada Kawasan Industri Sumbawa Barat)
2. Isu Strategis Pengembangan Wilayah Provinsi NTB (Pengembangan Kawasan Industri Sumbawa Barat (pertambangan dan Industri turunannya) di Sumbawa Barat)";Sampai dengan saat ini belum ada perencanaan pengembangan kawasan. Sementara untuk pembangunan, direncanakan dimulai Agustus 2021, namun baru akan dimulai pada Januari 2022.;"Smelter Amman Mineral direncanakan memiliki kapasitas input sebanyak 1 juta ton konsentrat tembaga per tahun dan dapat ditingkatkan hingga 1,6 juta atau 2 juta ton per tahun.

[agar ditambahkan nilai investasi, target dan indikator kinerja pengembangan kawasan industri]";BELUM ADA;"1. Kurangnya Dukungan Pemerintah dalam  pengembangan Kawasan Industri Sumbawa Barat 
2. Tidak tersinkronisasinya kebijakan antara Pemerintah Pusat – Pemerintah Provinsi – dan Pemerintah Kabupaten
3. Permasalahan terkait pembebasan lahan yang akan digunakan dalam pengembangan kawasan Industi
4. Progress Pengembangan Kawasan Industri yang terlambat dari rencana awal.";D 1.3;;✓;;;;;;✓;;belum;
46;41;23;NTB;Aderial Adelis;Asri;Pengawasan atas Pemanfaatan Bendungan di NTB;Pemanfaatan Bendungan di NTB;;Ya;D1.03;5;Ketahanan Bencana dan Lingkungan Hidup;;"Provinsi NTB memiliki bendungan paling banyak se Indonesia yaitu sebanyak 72 dari 230 Bendungan di Indonesia atau 31,30%

Tidak ada informasi terkait muatan dalam dok perencanaan";banyaknya bendungan belum memberikan dampak bagi peningkatan kesejahteraan masyarakat secara signifikan yaitu indeks kesejahteraan masyarakat di NTB termasuk rendah di Indonesia;"BELUM ADA

belum dinyatakan secara spesifik target atau indikator kinerja pemanfaatan/pembangunan bendungan";BELUM ADA;risiko tidak optimalnya pemanfaatan bendungan karena perawatan dan pemeliharaan tidak memadai;D 1.2;✓;;;;✓;;;;;belum;
47;58;24;NTT;Fajar Hudoyo;Widi;Pengawasan atas Pengelolaan OPAD Pajak Hotel Terapung;Pengelolaan OPAD Pajak Hotel Terapung;;Tidak;D3.01;7;Pengelolaan dan Optimalisasi PAD;Belum;Kebutuhan tambahan ruang fiskal guna meningkatkan kemandirian keuangan dan pembangunan daerah, terlebih lagi adanya pandemi Covid-19 pada tahun 2020 yang berdampak pada pengelolaan fiskal pada pemerintah daerah. Belum ada RPJMD/Renstra, KAK khusus yang OPAD pajak hotel terapung belum ada (KAK sebelumnya masih belum spesifik untuk OPAD pajak) ;Adanya realokasi dan refocusing, menciptakan tambahan ruang fiskal;Potensi pendapatan asli daerah;Belum ada;Peningkatan potensi PAD tidak dapat tercapai;D 3.1;;;;✓;;✓;;;;;Tata kelola, potensi pajak (berapa jumlah kapal), mekanisme penilaian potensi
48;42;24;NTT;Fajar Hudoyo;Widi;Pengawasan atas Penanganan Bencana Angin Siklon Seroja;Penanganan Bencana Angin Siklon Seroja;;Ya;D2.03;5;Ketahanan Bencana dan Lingkungan Hidup;;Gubernur Nusa Tenggara Timur telah menerbikan Surat Keputusan terkait  Status Darurat Penanganan Bencana dan Status Transisi Darurat Ke Pemulihan Penanganan Bencana sebagai tindak lanjut atas adanya  kejadian bencana musibah bencana Angin Siklon Tropis yang mengakibatkan terjadinya banjir,  tanah longsor, gelombang pasang dan abrasi yang terjadi di kabupaten kota di  wilayah Provinsi Nusa tenggara Timur;Adanya anggaran yang besar untuk pembangunan unit Hunian Tetap bagi  warga korban bencana dalam rangka penanganan bencana Angin Siklon  Tropis Seroja, dengan nilai sebesar Rp 1.663.340.931.000 melalui pengadaan penunjukan langsung.;Pembangunan 1.922 unit Hunian Tetap  (Huntap) dengan teknologi RISHA di 6 kabupaten/kota, dan melaksanakan  perbaikan infrastruktur di wilayah kabupaten kota di Provinsi Nusa Tenggara  Timur melalui empat UPT Balai Kementerian PUPR ;"Anggaran sebesar Rp 1.663.340.931.000 (sumber  anggaran dari APBN Kemen PUPR, APBN  BNPB,  APBD Provinsi dan donasi)

";"Sifat kedaruratan bencana, berpotensi menimbulkan risiko permasalahan antara lain pembangunan infrastruktur tidak sesuai rencana/identifikasi kebutuhan, permasalahan pemindahan pemukiman korban bencana, permasalahan kepemilikan Hunian Tetap dan lahan, sertifikasi, permasalahan pembangunan fasilitas pendukung, permasalahan jaminan hidup korban bencana yang di relokasi, permasalahan ganti rugi atau santunan lokasi pemukiman warga yang  direlokasi, adanya markup harga, markup volume, risiko fraud lainnya
 
";D 1.2;;✓;;;;✓;;;;;Anggaran dari pusat
49;13;25;Maluku;Agus Wibowo;Roy;Evaluasi atas Kesiapan Pengembangan Lapangan Abadi Wilayah Kerja Masela;Pengembangan Lapangan Abadi Wilayah Kerja Masela;;Ya;D1.03;2;Pengembangan Kawasan dan Ekonomi Regional;sudah;Blok Migas Masela memiliki jangka waktu produksi gas alam sampai 30 tahun. Blok Masela juga mampu menarik investasi sampai Rp280 T, menyerap tenaga kerja sebanyak 73.195 tenaga kerja per tahun serta menyumbang PDB nasional sampai Rp2.150,4 T.;;;;;D 1.2;;;;;;;✓;;;;
50;51;25;Maluku;Agus Wibowo;Roy;Pengawasan atas Lumbung Ikan Nasional Maluku;Revitalisasi Pasar Mardika;;Tidak;D1.04;3;Penguatan Infrastruktur dan Konektivitas;sudah. perlu dielaborasi di alasan kenapa Pasar ini perlu diawasi. legal izin, pendapatan. Provinsi pemilik, kota pengelola. distorsi kesepakatan, konflik dg pedagang , tdk ada retribusi.;Rata-rata tingkat kemandirian daerah di wilayah Provinsi Maluku sebesar 5,82% dengan kategori rendah sekali. Pengelolaan PAD perlu dilakukan secara optimal  untuk meningkatkan kemandirian daerah.;dalam pemanfaatannya beberapa permasalahan yang timbul yaitu adanya daerah penghasil yang belum puas terkait penawaran participating interest (PI) diberikan kepada Provinsi Maluku. Permasalahan lainnya adalah tidak diakomodirnya pemanfaatan migas dalam dokumen perencanaan strategis masing-masing daerah.;Memastikan perhitungan participating interest (PI) sebesar 10% pada Provinsi Maluku serta distribusi hasilnya kepada seluruh kabupaten/kota di Provinsi Maluku.;;Permasalahan yang mungkin yaitu terkait perhitungan participating interest (PI) sebesar 10% pada Provinsi Maluku serta distribusi hasilnya kepada seluruh kabupaten/kota di Provinsi Maluku. Jumlah tersebut sangat besar untuk pembangunan daerah.;D 1.2;;;;;;;✓;;;;Perlu dilihat Buku PPKD 2021
51;25;26;Papua;Ade Sunardi;Hanes;Pengawasan atas Program Penyediaan Air Bersih Berbasis Adat di Papua;Program Penyediaan Air Bersih Berbasis Adat di Papua;;Ya;D2.04;3;Penguatan Infrastruktur dan Konektivitas;Belum;Wilayah Jayapura dan sekitarnya dikaruniai Danau Sentani yang selain memiliki pesona yang indah juga dengan air baku sebanyak 2.376.000 m3 dan terdapat suku Sentani sebagai masyarakat adat yang tinggal di sekitar pinggiran danau dengan jumlah sekitar 30 ribu jiwa. Namun dari jumlah air baku yang melimpah ttersebut masih beberapa permasalahan spesifik yang dihadapi dalam penyediaan air di wilayah aglomerasi Jayapura;Evaluasi Kelembagaan atas Sistem Penyediaan Air Minum di wilayah Kota Jayapura dan Kabupaten Jayapura, Papua;membantu berbagai pemangku kepentingan untuk merumuskan strategi dan langkah perbaikan dalam Sistem Pengembangan Air Minum;NA;"-  Krisis sumber air baku bagi PDAM Jayapura 
- Masih tingginya tingkat kehilangan air, rendahnya cakupan pelayanan, dan rendahnya tingkat pertumbuhan pelanggan;
- Pembangunan sarana dan prasarana belum terintegrasi dengan upaya penyediaan air minum;
- Komitmen pemerintah daerah yang rendah;
- Kapasitas SDM di internal PDAM masih kurang, -  Belum adanya penataan kelembagaan (orkestrasi) dalam pengembangan penyediaan air minum bagi masyarakat.


";D 4.5;;;;✓;;;;✓;;belum;"1. Sajikan Nilai Anggaran dan Program terkait Pemenuhan Air Baku
2. Tidak hanya bicara masalah di PDAM saja tetapi konteks Strategis
3. Sajikan permasalahan strategis yang menjadi perhatian Gubernur
4. Sajikan Nilai Anggaran Program dan Kegiatan Terkait Pemenuhan Air Baku 
5. Pastikan Tertuang dalam RPJMD"
52;26;26;Papua;Ade Sunardi;Hanes;Pengawasan atas Pengelolaan Aset Pasca Penyelenggaraan PON XX dan Peparnas XVI Tahun 2021;Pengelolaan Aset Pasca Penyelenggaraan PON XX dan Peparnas XVI Tahun 2021;;Ya;D2.04;3;Penguatan Infrastruktur dan Konektivitas;;Anggaran persiapan berupa pembangunan venue dan sarana pendukungnya serta penyelenggaraan PON XX dan Peparnas XVI Tahun 2021 di Papua yang dibiayai dari APBN sejak tahun 2018 s.d 2021 kurang lebih sebesar Rp10,431 triliun. Anggaran sejumlah tersebut antara lain digunakan untuk pembangunan infrastruktur berupa 8 venue pertandingan (istora, arena cricket, lapangan hockey indoor dan outdoor, arena aquatic, arena sepatu roda, panahan, dan dayung). Namun Pemerintah Daerah di Provinsi Papua juga harus menyiapkan rencana kebijakan mengenai pengelolaan aset-aset tersebut berupa rencana strategis pengelolaan, kelembagaan, sistem, SDM, dan pembiayaan dan mencakup strategi penggunaan dan kerjasama pemanfaatan (sewa, pinjam pakai, KSP, BGS/BSG, KSPI) atas aset yang menguntungkan pemerintah daerah dan masyarakat melalui penilaian risiko bisnis, operasional, termasuk risiko terjadinya penyimpangan (fraud) dalam pengelolaan aset tersebut. ;Niilai aset Rp10,431 triliun tidak dimanfaatkan dan mangkrak.;"strategi penggunaan  dan Kerjasama pemanfaatan (sewa, pinjam pakai, KSP, BGS/BSG, KSPI) atas aset
yang menguntungkan pemerintah daerah dan masyarakat sesuai ketentuan yang
berlaku. ";Anggaran pembangunan venue dan sarana pendukungnya serta penyelenggaraan PON XX dan Peparnas XVI Tahun 2021 di Papua yang dibiayai dari APBN sejak tahun 2018 sampai dengan 2021 kurang lebih sebesar Rp10,431 triliun. ;"Dalam rangka pengelolaan aset daerah agar menjadi barang publik yang dapat
memberikan nilai tambah bagi perekonomian daerah  ";D 3.1;;✓;;;;✓;;;;V;"1. Sajikan Program dan Kegiatan dariu APBD yang menopang Pemerliharaan Aset PON Papua
2. Sajikan Nilai dari Program dan Kegiatan dalam RPJMD untuk menopang Pemeliharaan Aset PON Papua
3. Berikan gambaran Kebijakan Pemeiharaan Aset Pemerintah Daerah
4. Pastikan tertuang dalam RPJMD Provinsi Papua untuk Pemeliharaan Aset PON Papua"
53;24;27;Papua Barat;Aderial Adelis;Frida;Pengawasan atas Pengembangan Bandara Rendani, Manokwari;Program Pengembangan Kawasan Komunitas Adat Terpencil (KAT) Provinsi Papua Barat ;;Ya;D2.04;4;Pembangunan Sumber Daya Manusia;;Tingginya tingkat kemiskinan menempatkan Provinsi Papua Barat berada pada posisi kedua secara nasional dalam persentase penduduk miskin tertinggi di Indonesia yakni (21,70%) pada Tahun 2020. Selain itu, masih banyak kelompok orang asli papua dalam komunitas adat terpencil yang belum memiliki aksesibilitas dalam pembangunan. Hal ini yang menjadi fokus Gubernur Provinsi Papua Barat melalui program RKPD "Program Pengembangan Kawasan Komunitas Adat Terpencil (KAT) Provinsi Papua Barat".;Pengembangan wilayah untuk mengurangi kesenjangan menjadi prioritas pembangunan tahun 2022 yang difokuskan Gubernur Provinsi Papua Barat.  ;Peningkatan kualitas sumber daya dan daya saing daerah melalui penanggulangan kemiskinan, pengangguran dan kesenjangan diwujudkan dalam bentuk perlindungan hak sebagai warga negara, pemenuhan kebutuhan dasar, dan kemandirian sebagai warga negara.;Anggaran Program Pengembangan Kawasan Komunitas Adat Terpencil (KAT) Provinsi Papua Barat bersumber dari APBD Pemerintah Provinsi Papua Barat Tahun Anggaran 2022 sebesar Rp35.000.000.000,00.;data sasaran target program yang tidak valid, sumber daya pengelola program yang tidak memadai, pengelolaan anggaran yang tidak akuntabel, dan fraud menjadi risiko yang melekat pada program pembangunan kawasan KAT.;D 1.3;;✓;;;;;;✓;;;
54;31;27;Papua Barat;Aderial Adelis;Frida;Pengawasan atas Program Sekolah Unggulan SMA Taruna Kasuari Nusantara Manokwari;Pengembangan Industri Perikanan Papua Barat;;Ya;D1.02;6;Ketahanan Pangan;;"Provinsi Papua Barat memiliki potensi sumber daya ikan yang dapat dieksploitasi mencapai 1.2 juta ton per tahun (12,4% stok ikan nasional) namun tidak diimbangi dengan pemanfaatan sumber daya perikanan tangkap laut. Tahun 2015 produksi tangkap laut baru  di Provinsi Papua Barat mencapai 136 ribu ton (2,2% produksi nasional).
Sesuai Instruksi Presiden Nomor 9 Tahun 2020 tentang Percepatan Pembangunan Kesejahteraan di Provinsi Papua Dan Provinsi Papua Barat, Presiden Republik Indonesia memberikan instruksi kepada Kepala BPKP seperti memberikan dukungan untuk percepatan pembangunan kesejahteraan di Provinsi Papua dan Provinsi Papua Barat.";Hasil perikanan pada Provinsi Papua Barat masih dipasarkan dalam bentuk ikan segar atau belum ditangani dengan baik untuk proses penanganan dan pengolahannya. Hal ini disebabkan masih terbatasnya SDM, permodalan, infrastruktur di bidang perikanan dan industri perikanan serta masih terbatasnya penerapan teknologi tepat guna.;Pengembangan industri perikanan diharapkan dapat meningkatkan hasil perikanan, kualitas sumberdaya dan daya saing daerah, serta penanggulangan kemiskinan, pengangguran dan kesenjangan.;Pelaksanakan Program Produksi, Pengolahan dan Pemasaran Hasil Perikanan bersumber dari APBD Pemerintah Provinsi Papua Barat sebesar Rp68.067.272.748,00.;sumber daya pengelola program yang tidak memadai, pengelolaan anggaran yang tidak akuntabel, lemahnya validasi data penerima dan risiko fraud/kecurangan menjadi risiko yang melekat pada pengembangan industri perikanan ;D 2.4;;;✓;;;✓;;;;;
55;2;28;Kepulauan Riau;Fajar Hudoyo;Teguh;Pengawasan atas Subsidi Bunga kepada Usaha Mikro untuk mendukung Program PEN;Penataan Ibu Kota Provinsi Kepulauan Riau;;;D1.03;2;Pengembangan Kawasan dan Ekonomi Regional;;"Proyek strategis penataan ibu kota merupaakan salah satu program di dalam RPJMD Tahun 2021 - 2025 dan RKPD Tahun 2022 Provinsi Kepulauan Riau;

belum ada info tujuan/indikator dalam RPJMN yang ingin dicapai";"1)        Jalur masuk mobilisasi barang dan orang terbatas;
2)        Kawasan perdagangan dan jasa, dan sentra usaha mikro kecil dan menengah yang didukung sistem transportasi darat yang representatif belum optimal;
3)        Iklim investasi dan usaha perlu ditingkatkan untuk meningkatkan penyerapan tenaga kerja.
";"1)        Pengembangan wilayah sebagai akses jalur masuk mobilisasi barang dan orang;
2)        Pengembangan wilayah sebagai pusat pemerintahan, kawasan perdagangan dan jasa, dan sentra usaha mikro kecil dan menengah yang didukung sistem transportasi darat yang representatif;
3)        Meningkatkan iklim investasi dan usaha yang kondusif untuk meningkatkan penyerapan tenaga kerja;
4)        Proyek pendukung utama untuk akses lalu lintas;
5)        Peningkatan pertumbuhan ekonomi.

ada data kuantitatif yang mendukung?";"Rp180,000,000,000.00, terdiri dari 7 proyek strategis
(Hanya 3 yang diawasi?)";"1) Keterlambatan penyelesaian proyek yang disebabkan:
a. Kesiapan lahan
b. kegagalan lelang
c. wanprestasi penyedia
2) Pelaksanaan kegiatan tidak sesuai dengan spesifikasi
3) Hasil kegiatan tidak dimanfaatkan oleh masyarakat";D 1.4;;;✓;;;;;✓;;;
56;62;28;Kepulauan Riau;Fajar Hudoyo;Teguh;Pengawasan atas Tourism Linkages Networking;Tourism Linkages Networking;;Tidak;D1.04;8;Pariwisata;;"Kebijakan prioritas Pemerintah Provinsi Kepulauan Riau salah satunya adalah pengembangan dan penguatan hubungan berkelanjutan antara sektor
pariwisata dan sektor ekonomi produktif lainnya seperti pertanian, manufaktur dan hiburan yang terkait erat dengan sektor pariwisata, yang juga sejalan dengan pengembangan  kawasan strategis yang ditargetkan dalam RPJMN 2020 – 2024 dan PP 50 Tahun 2011 tentang Rencana Induk Pembangunan Kepariwisataan Nasional 2010 - 2025

Provinsi Kepulauan Riau merupakan gerbang wisata mancanegara ketiga setelah Pulau Bali dan Jakarta. 2,25 juta orang atau sekitar 25% dari jumlah wisatawan asing di Indonesia masuk melalui Batam";"Belum memiliki grand desain pengembangan pariwisata provinsi.
Rendahnya kualitas sarana dan prasarana destinasi wisata bahari untuk menunjang daya tarik wisata di Provinsi Kepulauan Riau.
Rendahnya kompetensi SDM pariwisata bahari berkaitan dengan manajemen pengelolaan obyek wisata dan kerjasama dengan pelaku usaha pendukung wisata.
Kurangnya promosi pariwisata baik di tingkat nasional dan internasional.
Belum optimalnya jaminan keamanan bagi wisatawan
Budaya sadar pariwisata belum melekat pada sikap dan perilaku masyarakat Provinsi Kepulauan Riau.

Tidak ada informasi apakah permasalahan tersebut merupakamn concern Gubernur
";"1. Meningkatkan konsumsi barang dan jasa yang dapat diperoleh secara kompetitif dari sumber lokal. (ada data kuantitatifnya?)
2. Menciptakan lapangan kerja sambil menghasilkan dan mempertahankan potensi penghasilan devisa Negara (ada data kuantitatifnya?)
3. Meningkatkan PDRB Sektor Pariwisata dari 2,17 Triliun pada tahun 2021 menjadi 3,49 Triliun pada tahun 2026 (target).";Rp90,5 M;"1) Kegiatan berpotensi tidak terarah dan terkoordinasi dengan baik karena  dalam pelaksanaannya melibatkan beberapa OPD dan Kabupaten/Kota, sehingga perlu dilakukan pengawalan yang bersifat trigger oleh pihak lain seperti BPKP agar kegiatan dapat tetap terlaksana dan terkoordinasi dengan baik.

2) Penggunaan dana berpotensi  menjadi tidak efisien karena kegiatan melibatkan beberapa OPD dan Kab/Kota sehingga perlu dilakukan pengawalan melalui pengawasan.";D 1.4;;;✓;;;;;✓;;belum;
57;17;29;Kepulauan Bangka Belitung;Agus Wibowo;Ardilles;Pengawasan atas Pengembangan Pelabuhan Tanjung Gudang Belinyu;Pengembangan Pelabuhan Tanjung Gudang Belinyu;;ya;D1.03;3;Penguatan Infrastruktur dan Konektivitas;;"a. Program pengembangan pelabuhan Tanjung Gudang Belinyu sangat strategis karena terkait dengan beberapa aspek yaitu ekonomi, peningkatan akses/konektivitas untuk mendukung mobilitas masyarakat, dan peningkatan arus komoditas/logistik.
 b. Program pengembangan pelabuhan Tanjung Gudang Belinyu ini sudah termasuk dalam Rencana Pembangunan Jangka Menengah Daerah (RPJMD) Provinsi Kepulauan Bangka Belitung Tahun 2017 – 2022 terutama dalam misi ke-2 yaitu Mewujudkan Infrastruktur dan Konektivitas Daerah yang Berkualitas.
 c. Sudah menjadi perhatian Gubernur dan Bupati Bangka.";Regulasi yang menghambat pengembangan kawasan pelabuhan, dan lemahnya koordinasi antara Kementerian Perhubungan, Pemerintah Provinsi Kepulauan Bangka Belitung, Pemerintah Kabupaten Bangka dan PT. Pelindo II terkait kesiapan lokasi pelabuhan.;"Tujuan dari program pengembangan pelabuhan ini adalah untuk:
 a. menunjang pertumbuhan ekonomi di Provinsi Kepulauan Bangka Belitung yang diwujudkan melalui pengembangan pelabuhan.
 b. melayani kapal penumpang/barang curah dan padat 30.000 DWT.
 c. mengusung konsep pelabuhan yang terintegrasi, dengan memiliki terminal peti kemas internasional dan domestik, terminal roro dan pelabuhan perikanan.
 d. menekan biaya logistik bagi para pengguna jasa.";;;D 1.3;;;✓;;;;;✓;;;
